n_ops, s_size, gpu, cpu
4194304,200000,0.000165152,0.004227168
4194304,200000,0.000235072,0.003860192
8388608,2000,3.8656e-05,0.00835248
8388608,2000,8.5952e-05,0.008129664
8388608,2000,2.8768e-05,0.007898464
8388608,2000,6.9088e-05,0.007349184
8388608,2000,2.608e-05,0.007728064
8388608,2000,2.5952e-05,0.00789136
8388608,2000,2.5888e-05,0.00773328
8388608,2000,2.72e-05,0.008161088
8388608,2000,2.7008e-05,0.007144768
8388608,2000,2.512e-05,0.008035424
8388608,20000,3.9456e-05,0.008956896
8388608,20000,3.7888e-05,0.007314976
8388608,20000,3.52e-05,0.00781968
8388608,20000,3.552e-05,0.008334528
